ParkName,hours,visits,hours_per_visit,latitude,longitude,OBJECTID,UNIT_CODE,UNIT_NAME,DATE_EDIT,STATE,REGION,GNIS_ID,UNIT_TYPE,CREATED_BY,PARKNAME,CreationDate,Creator,EditDate,Editor,GlobalID,AreaID
Hot Springs NP,"6,189,943","2,162,884",2.861893194,34.52917031,-93.02997185,99,HOSP,Hot Springs National Park,2020-06-15T00:00:00Z,AR,MW,56796,National Park,Lands,Hot Springs,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,c5680de8-e01c-4b7c-9883-8b8b4605dbda,298
Indiana Dunes NP,"8,234,659","3,177,210",2.591789337,41.6596671,-87.03316321,157,INDU,Indiana Dunes National Park,2020-01-24T00:00:00Z,IN,MW,446903,National Park,Lands,Indiana Dunes,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,1c235a1a-3a52-48ba-beb8-d816ce39e7a8,258
Isle Royale NP,"1,424,902","25,844",55.13473147,48.03105477,-88.80674398,31,ISRO,Isle Royale National Park,2013-12-18T00:00:00Z,MI,MW,1616980,National Park,Lands,Isle Royale,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,b697c514-4575-4563-92e6-339ddcae6137,260
Joshua Tree NP,"17,408,721","3,064,400",5.680955815,33.89934237,-115.9532941,271,JOTR,Joshua Tree National Park,2019-06-13T00:00:00Z,CA,PW,277261,National Park,Lands,Joshua Tree,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,8e14cc4d-5fce-4782-9581-4ace435cd924,342
Katmai NP & PRES,"409,210","24,764",16.52439024,58.51045458,-155.0830382,16,KATM,Katmai National Park,2022-03-24T00:00:00Z,AK,AK,1416045,National Park,Lands,Katmai,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,43042ec4-c1f3-47f0-af3a-d8893823a0ee,413
Kenai Fjords NP,"1,429,873","411,782",3.472402873,59.8091924,-150.2465916,208,KEFJ,Kenai Fjords National Park,2019-03-21T00:00:00Z,AK,AK,1419645,National Park,Lands,Kenai Fjords,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,ec11f0f3-e109-4b02-89fc-e8d44227adde,414
Kings Canyon NP,"18,024,668","562,918",32.02005976,36.87494725,-118.5938531,335,KICA,Kings Canyon National Park,2011-10-17T00:00:00Z,CA,PW,255948,National Park,Lands,Kings Canyon,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,8ff36ec6-a39a-4a8f-971d-078bbe29ef07,357
Kobuk Valley NP,"170,096","11,540",14.73968804,67.3961749,-159.0625337,339,KOVA,Kobuk Valley National Park,2019-03-21T00:00:00Z,AK,AK,1416046,National Park,Lands,Kobuk Valley,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,6a413606-23b9-44c8-b78e-b8a8029db237,416
Lake Clark NP & PRES,"172,802","18,278",9.454097823,60.58858319,-153.2618711,144,LACL,Lake Clark National Park,2022-03-24T00:00:00Z,AK,AK,1416049,National Park,Lands,Lake Clark,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,5f764083-91cd-49db-aa7e-bf322a9a18ad,418
Lassen Volcanic NP,"3,753,786","359,635",10.43776607,40.4971351,-121.4046426,381,LAVO,Lassen Volcanic National Park,2015-08-19T00:00:00Z,CA,PW,262325,National Park,Lands,Lassen Volcanic,2022-04-07T15:52:34Z,NPS_WASO_LANDS,2022-04-07T15:52:34Z,NPS_WASO_LANDS,e30be856-99f1-4232-ad6d-885fc62e3f15,345
